# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1699334493.915398836135864,0.01129,0.00030,0.00081,0.00000,0.00190,0.00232,0.01662
1699334493.982146024703979,0.00795,0.00029,0.00050,0.00000,0.00025,0.00195,0.01094
1699334494.048892974853516,0.00588,0.00027,0.00056,0.00000,0.00174,0.00190,0.01035
1699334494.115639209747314,0.00593,0.00031,0.00021,0.00000,0.00016,0.00225,0.00887
1699334494.182386159896851,0.01547,0.00023,0.00025,0.00000,0.00029,0.00130,0.01753
1699334494.249133586883545,0.01217,0.00026,0.00039,0.00000,0.00010,0.00198,0.01490
1699334494.315881013870239,0.00960,0.00030,0.00094,0.00000,0.00421,0.00198,0.01703
1699334494.382628202438354,0.01403,0.00045,0.00115,0.00000,0.00000,0.00159,0.01722
1699334494.449375152587891,0.01324,0.00065,0.00127,0.00000,0.00022,0.00123,0.01662
1699334494.549496173858643,0.00648,0.00041,0.00219,0.00000,0.00028,0.00187,0.01124
1699334494.616243362426758,0.01136,0.00026,0.00105,0.00000,0.00377,0.00181,0.01825
1699334494.682990550994873,0.00569,0.00028,0.00028,0.00000,0.00082,0.00187,0.00895
1699334494.749737501144409,0.01106,0.00026,0.00048,0.00000,0.00027,0.00170,0.01377
1699334494.816484928131104,0.01044,0.00051,0.00051,0.00000,0.00000,0.00351,0.01497
1699334494.883232116699219,0.01312,0.00025,0.00043,0.00000,0.00067,0.00167,0.01614
1699334494.949978828430176,0.00678,0.00034,0.00066,0.00000,0.00010,0.00225,0.01013
1699334495.016726016998291,0.01169,0.00038,0.00103,0.00000,0.00186,0.00210,0.01706
1699334495.083473443984985,0.00676,0.00042,0.00100,0.00000,0.00030,0.00214,0.01063
1699334495.150220632553101,0.01274,0.00041,0.00068,0.00000,0.00108,0.00268,0.01759
1699334495.216967344284058,0.00932,0.00032,0.00075,0.00000,0.00024,0.00204,0.01268
1699334495.283714771270752,0.00844,0.00039,0.00066,0.00000,0.00014,0.00290,0.01253
