time,bg,bg.norm,ba,ba.norm,pose.cov
1.70003042107163E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,4.26954
1.70003042113774E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,4.56109
1.70003042120381E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,4.86877
1.70003042127003E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,5.19546
1.70003042133624E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,5.54047
1.70003042140244E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,5.90312
1.70003042146863E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,6.28392
1.70003042153482E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,6.6851
1.70003042160099E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,7.10908
1.70003042166716E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,7.5544
1.70003042173332E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,8.02053
1.70003042179948E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,8.50955
1.70003042186562E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,9.02505
1.70003042193176E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,9.56641
1.70003042199789E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,10.13347
1.70003042206401E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,10.72633
1.70003042213012E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,11.3481
1.70003042219619E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,12.00096
1.7000304222624E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,12.68545
1.70003042232861E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,13.39977
1.70003042239481E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,14.1467
1.70003042246101E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,14.92942
1.70003042252719E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,15.74874
1.70003042259337E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,16.60407
1.70003042265954E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,17.49437
1.7000304227257E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,18.4227
1.70003042279185E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,19.39467
1.700030422858E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,20.40955
1.70003042292414E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,21.46451
1.70003042299027E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,22.56195
1.70003042305639E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,23.70665
1.7000304231225E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,24.90062
1.70003042318857E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,26.14311
1.70003042325479E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,27.43592
1.700030423321E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,28.77864
1.7000304233872E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,30.17828
1.7000304234534E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,31.63547
1.70003042351958E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,33.14711
1.70003042358576E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,34.7153
1.70003042363992E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,36.04404
1.70003042370605E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,37.7271
1.70003042377218E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,39.47435
1.70003042383829E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,41.28578
1.7000304239044E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,43.1601
1.7000304239705E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,45.10487
1.7000304240366E+018,0.02411 0.10344 0.04786,0.1165,-0.00982  0.00136  0.12866,0.12904,47.12466
