# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1700030425.712891817092896,0.00611,0.00030,0.00084,0.00016,0.00059,0.00223,0.01024
1700030425.767077922821045,0.00378,0.00017,0.00034,0.00012,0.00064,0.00147,0.00653
1700030425.834540367126465,0.00766,0.00037,0.00177,0.00010,0.00006,0.00177,0.01172
1700030425.902015686035156,0.00639,0.00028,0.00242,0.00011,0.00026,0.00189,0.01135
1700030425.969503402709961,0.00868,0.00032,0.00151,0.00015,0.00000,0.00249,0.01314
1700030426.037003993988037,0.00609,0.00034,0.00017,0.00014,0.00012,0.00252,0.00938
1700030426.104516029357910,0.00518,0.00033,0.00028,0.00014,0.00545,0.00200,0.01338
1700030426.172041893005371,0.00762,0.00053,0.00051,0.00052,0.00023,0.00279,0.01222
1700030426.238824367523193,0.00570,0.00043,0.00043,0.00036,0.00160,0.00322,0.01175
1700030426.305226802825928,0.00758,0.00027,0.00048,0.00019,0.00025,0.00204,0.01081
1700030426.371417999267578,0.00915,0.00021,0.00055,0.00015,0.00047,0.00166,0.01220
1700030426.437601804733276,0.00610,0.00030,0.00133,0.00017,0.00070,0.00233,0.01094
1700030426.503777265548706,0.00717,0.00041,0.00245,0.00011,0.00032,0.00149,0.01195
1700030426.569946527481079,0.00864,0.00047,0.00198,0.00012,0.00360,0.00129,0.01611
1700030426.636108398437500,0.00570,0.00031,0.00205,0.00022,0.00024,0.00237,0.01090
1700030426.702263116836548,0.00880,0.00024,0.00141,0.00018,0.00620,0.00188,0.01871
1700030426.768410444259644,0.00545,0.00034,0.00098,0.00088,0.00000,0.00253,0.01018
1700030426.834550619125366,0.00724,0.00030,0.00063,0.00069,0.00009,0.00239,0.01133
1700030426.900683164596558,0.00683,0.00045,0.00055,0.00100,0.00035,0.00226,0.01144
1700030426.966807603836060,0.00639,0.00043,0.00130,0.00058,0.00018,0.00221,0.01108
1700030427.032925605773926,0.00839,0.00022,0.00071,0.00016,0.00200,0.00172,0.01320
1700030427.099036455154419,0.00596,0.00027,0.00193,0.00024,0.00353,0.00218,0.01411
1700030427.165139913558960,0.01023,0.00062,0.00121,0.00023,0.00046,0.00142,0.01417
1700030427.231235980987549,0.00810,0.00024,0.00044,0.00023,0.00032,0.00201,0.01134
1700030427.297385931015015,0.00565,0.00036,0.00056,0.00035,0.00387,0.00204,0.01284
1700030427.363585472106934,0.00551,0.00030,0.00196,0.00033,0.00248,0.00183,0.01240
1700030427.429776906967163,0.00758,0.00028,0.00030,0.00053,0.00014,0.00213,0.01097
1700030427.495961904525757,0.00661,0.00038,0.00011,0.00072,0.00021,0.00177,0.00981
1700030427.562140226364136,0.00442,0.00025,0.00024,0.00040,0.00029,0.00189,0.00748
1700030427.628311395645142,0.00862,0.00033,0.00048,0.00037,0.00008,0.00267,0.01256
1700030427.694475412368774,0.00472,0.00029,0.00174,0.00042,0.00020,0.00188,0.00925
1700030427.760632038116455,0.01091,0.00031,0.00128,0.00015,0.00007,0.00130,0.01403
1700030427.826781034469604,0.00596,0.00029,0.00023,0.00029,0.00569,0.00153,0.01399
1700030427.892923831939697,0.00756,0.00044,0.00239,0.00082,0.00038,0.00133,0.01292
1700030427.959059238433838,0.00715,0.00044,0.00084,0.00046,0.00059,0.00189,0.01138
1700030428.025187969207764,0.00381,0.00025,0.00020,0.00034,0.00032,0.00200,0.00692
1700030428.091309309005737,0.00674,0.00034,0.00101,0.00028,0.00040,0.00188,0.01066
1700030428.157423734664917,0.00642,0.00037,0.00058,0.00026,0.00484,0.00232,0.01480
1700030428.223531007766724,0.00837,0.00028,0.00044,0.00018,0.00006,0.00221,0.01155
1700030428.289833307266235,0.00682,0.00029,0.00214,0.00013,0.00030,0.00211,0.01180
1700030428.356451988220215,0.00973,0.00057,0.00265,0.00003,0.00023,0.00134,0.01455
1700030428.422951459884644,0.01162,0.00020,0.00092,0.00002,0.00002,0.00155,0.01433
1700030428.489448070526123,0.00625,0.00032,0.00078,0.00000,0.00432,0.00159,0.01327
1700030428.555941104888916,0.00830,0.00025,0.00061,0.00008,0.00049,0.00188,0.01162
1700030428.622431039810181,0.01027,0.00019,0.00061,0.00006,0.00344,0.00146,0.01603
1700030428.688917875289917,0.00577,0.00039,0.00051,0.00036,0.00042,0.00193,0.00938
1700030428.755400419235229,0.00840,0.00022,0.00032,0.00017,0.00052,0.00175,0.01140
1700030428.821880817413330,0.00597,0.00036,0.00045,0.00022,0.00050,0.00287,0.01035
1700030428.888358116149902,0.00390,0.00026,0.00159,0.00005,0.00027,0.00180,0.00787
